category,round,value,clue,answer
DADDY! PAPA!,2,400,"Harvestmen, crane flies & cellar spiders are all known by this nickname",daddy longlegs
,,,,
DADDY! PAPA!,2,800,"""Better ingredients. Better pizza"" is an ad slogan for this chain",Papa John's
,,,,
DADDY! PAPA!,2,1200,The name of this caramel lollipop was meant to suggest a wealth of sweetness,a Sugar Daddy
,,,,
DADDY! PAPA!,2,1600,"A spirit known as a loa, Papa Legba is a gatekeeper & a master communicator in this religion practiced in Haiti",Voodoo
,,,,
DADDY! PAPA!,2,2000,Burl Ives played Big Daddy in the Broadway & film versions of this Tennessee Williams play,Cat on a Hot Tin Roof
,,,,
DAILY READING,1,200,"""Black Sunday"" by Thomas Harris sees terrorists plot a deadly attack using a blimp on this ultimate sporting event",the Super Bowl
,,,,
DAILY READING,1,400,"Mary Rodgers wrote this novel, later a Disney film, about a mother & daughter who magically switch places",Freaky Friday
,,,,
DAILY READING,1,600,"A 1958 novel (later an Albert Finney film) about a worker whose only pleasure is weekend blowouts is called this ""& Sunday Morning""",Saturday Night
,,,,
DAILY READING,1,800,"A youngster wakes up to find everything out of place in ""Wacky Wednesday"" by this author writing under the name Theo LeSieg",Dr. Seuss
,,,,
DAILY READING,1,1000,"This 1973 Kurt Vonnegut novel about depressed car dealer Dwayne Hoover is subtitled ""or Goodbye Blue Monday!""",Breakfast of Champions
,,,,
DIPLOMACY,3,0,"The book ""The Eagle & the Elephant"" is about the relationship between the U.S. & this Asian country beginning in 1833",Thailand (Siam)
,,,,
DISCOUNT CEOs?,1,200,"On Nov. 2, 2006 John Mackey, CEO of this grocery chain aka ""Whole Paycheck"", told employees he was giving up almost all of his salary",Whole Foods
,,,,
DISCOUNT CEOs?,1,400,"Mark Zuckerberg asked Facebook for this salary in 2013, making him the lowest-paid guy there",$1.00
,,,,
DISCOUNT CEOs?,1,600,"This CEO of Tesla used to earn a salary representative of California's minimum wage, yet he never took a dime of it",Elon Musk
,,,,
DISCOUNT CEOs?,1,2000,"Jack Dorsey, CEO of this credit card processing giant, gets a $2.75 yearly salary, 2.75 being the percentage charged per swipe",Square
,,,,
DISCOUNT CEOs?,1,1000,"When Meg Whitman took over as CEO of this hyphenated tech giant, she couldn't buy coffee with her salary; she did okay with stocks, though",Hewlett-Packard
,,,,
DISCOVERY,1,200,In 1985 this ship was discovered by a U.S. Navy expedition led by Robert Ballard that found where she had lain for 73 years,the Titanic
,,,,
DISCOVERY,1,400,Collective name for the ancient manuscript fragments discovered in 1947 in caves in the Qumran region of the West Bank,the Dead Sea Scrolls
,,,,
DISCOVERY,1,600,In this year James Marshall discovered gold from the American River in California; the next year the rush was on,1848
,,,,
DISCOVERY,1,800,"In late 1805 this pair's Corps of Discovery arrived at the Pacific Ocean near what is now Astoria, Oregon",Lewis & Clark
,,,,
DISCOVERY,1,1000,"At Mount Wilson Observatory in the 1920s, Edwin Hubble made the discovery that this isn't a nebula but a large galaxy all its own",Andromeda
,,,,
DOCUSERIES,1,200,"HBO's ""McMillions"" shows how McDonald's contests based on this board game were rigged for more than a decade",Monopoly
,,,,
DOCUSERIES,1,400,"According to a series by PBS & Ken Burns, these, like Grand Teton or Joshua Tree, were ""America's best idea""",the national parks
,,,,
DOCUSERIES,1,600,"It makes sense that ""The Imagineering Story"" about the making of theme parks is on this streaming service launched in 2019",Disney+
,,,,
DOCUSERIES,1,800,"Part 5 of this CNN series about the royal family is titled ""The Princess, the Prince and the Press""",The Windsors
,,,,
DOCUSERIES,1,1000,"This sprawling hip-hop ""Clan"" is profiled in the Showtime series ""Of Mics & Men""",the Wu-Tang Clan
,,,,
"DOUBLE ""E"" FOR THEE",2,400,To suddenly swerve in a different direction,veer (careen)
,,,,
"DOUBLE ""E"" FOR THEE",2,800,Mentions of these gentle people in the Bible are found in Psalm 22 & in Matthew 5,the meek
,,,,
"DOUBLE ""E"" FOR THEE",2,1200,Vladimir Putin enjoys a cocktail made with horseradish & this veggie beloved in Russia,beets
,,,,
"DOUBLE ""E"" FOR THEE",2,1600,Synonyms for this verb include consider & judge,to deem
,,,,
"DOUBLE ""E"" FOR THEE",2,2000,Delicate & intricate patterns of thin gold or silver wire used as decoration,filigree
,,,,
DURING HIS PRESIDENCY,1,200,73 million watched the Beatles' debut on Ed Sullivan & the Pueblo incident happened during his Oval Office stay,(Lyndon) Johnson
,,,,
DURING HIS PRESIDENCY,1,400,The Reagan era saw Desmond Tutu win the Nobel Peace Prize & Barney Clark survive 112 days after surgery implanting this,an artificial heart
,,,,
DURING HIS PRESIDENCY,1,600,"Silent Cal took in the founding of CBS & the publication of this 1925 novel set in East Egg, Long Island",The Great Gatsby
,,,,
DURING HIS PRESIDENCY,1,800,"The Nixon era saw Hank Aaron hit home run No. 715 & this country, at times part of India & of Pakistan, gain independence",Bangladesh
,,,,
DURING HIS PRESIDENCY,1,1000,"This artist's ""The Persistence of Memory"" & Earhart flying solo across the Atlantic happened on Hoover's watch",Salvador Dal�
,,,,
E 1-2-3-4-5,2,400,"A mistake, like throwing the ball into left field",an error
,,,,
E 1-2-3-4-5,2,800,Musical rate of movement indicated by adagio or presto,tempo
,,,,
E 1-2-3-4-5,2,1200,It describes the indentation on a chin,cleft
,,,,
E 1-2-3-4-5,2,1600,A small flock of quail,covey
,,,,
E 1-2-3-4-5,2,2000,Canadians enjoy wearing this type of heavy stocking cap,a toque (tuque)
,,,,
ELECTION ODDITIES,1,200,In 2014 this supreme leader of North Korea won 100% of the vote in his district,Kim Jong-un
,,,,
ELECTION ODDITIES,1,400,The 1964 election to make Papa Doc Duvalier president for life of Haiti had this 3-letter French word already marked on ballots,oui
,,,,
ELECTION ODDITIES,1,600,In 1955 this country's P.M. Ngo Dinh Diem printed his ballots on lucky red paper & his opponent's ballot on unlucky green paper,South Vietnam
,,,,
ELECTION ODDITIES,1,800,In 19th c. New York the Dead Rabbits Gang used force to make people vote for candidates of this Boss Tweed political machine,Tammany Hall
,,,,
ELECTION ODDITIES,1,1000,"In 1927 Charles King won the presidency by more than 200,000 votes even though this African country had only 15,000 registered voters",Liberia
,,,,
ELEMENTAL FACTS,2,400,There are 383 atoms of hydrogen & 6 atoms of sulfur in each molecule of this hormone that regulates sugar in the body,insulin
,,,,
ELEMENTAL FACTS,2,800,Stumptown Coffee Roasters uses this elemental gas in a process that gives cold brew coffee a beer-like frothy head,nitrogen
,,,,
ELEMENTAL FACTS,2,1200,This S. Am. country produces nearly 90% of the world's niobium; President Bolsonaro dreams of making Niobium Valley like Silicon Valley,Brazil
,,,,
ELEMENTAL FACTS,2,1600,"Needed for the thyroid gland, this element, atomic No. 53, is essential to the human body",iodine
,,,,
ELEMENTAL FACTS,2,2000,Alkali elements react with halogen elements because alkalis have 1 valence shell electron & halogens have this many,7
,,,,
"ENDS IN ""LOW""",1,100,"An associate; in politics you may be coupled with a ""strange"" one",a bedfellow
,,,,
"ENDS IN ""LOW""",1,200,"In this 1966 hit, Donovan was ""just mad about Saffron...Saffron's mad about me""","""Mellow Yellow"""
,,,,
"ENDS IN ""LOW""",1,300,"The name of this small 1- or 1 1/2-story house is from the Hindi meaning ""of Bengal""",a bungalow
,,,,
"ENDS IN ""LOW""",1,400,"The Gettysburg address includes the line ""We cannot consecrate, we cannot"" do this to ""this ground""",hallow
,,,,
"ENDS IN ""LOW""",1,500,"This author has won 3 National Book Awards, the first for ""The Adventures of Augie March"" in 1954",Saul Bellow
,,,,
ENGLISH POETS,3,0,"An 1816 poem by him says, ""That with music loud and long, I would build that dome in air, That sunny dome!""",Coleridge
,,,,
EUROPEAN HISTORY,1,200,"In the Kalmar War of 1611-1613, Denmark beat up on this rival to the north",Sweden
,,,,
EUROPEAN HISTORY,1,400,In England Lord Hardwicke's Act of 1753 banned this informal type of marriage without civil or religious ceremony,common law
,,,,
EUROPEAN HISTORY,1,600,"German King Henry VII invaded Rome in 1312 & while he was there, picked up this title",Holy Roman Emperor
,,,,
EUROPEAN HISTORY,1,800,"Meaning ""hammer"", it was the byname of Frankish king Charles, who hammered a Muslim army at the 732 Battle of Tours",Martel
,,,,
EUROPEAN HISTORY,1,1000,"Helped by Lord Byron, in 1830 it became the first of the Ottoman Empire's subject nations to achieve independence",Greece
,,,,
EUROPEAN HISTORY IS A DOWNER,1,200,A lack of genetic diversity in this crop in 1840s Ireland was a major cause of disaster for the population,a potato
,,,,
EUROPEAN HISTORY IS A DOWNER,1,400,"The USSR's 1930s Great Purge included the notorious ""show"" type of these, with defendants forced to confess",trials
,,,,
EUROPEAN HISTORY IS A DOWNER,1,600,"1950-51 in the Alps was the ""Winter of Terror"" as these disasters destroyed buildings & killed more than 200 people",avalanches
,,,,
EUROPEAN HISTORY IS A DOWNER,1,800,The Vatican had second thoughts about its treatment of heretic Giordano Bruno--400 years after he was executed this way,burned at the stake
,,,,
EUROPEAN HISTORY IS A DOWNER,1,1000,A secret Sicilian group fighting foreign invaders may be the origin of this notorious criminal group,the Mafia
,,,,
EVERY DAY'S A HOLIDAY,1,200,On January 12 have a cuppa on National Hot this Day,Tea
,,,,
EVERY DAY'S A HOLIDAY,1,400,"In Japan, November the 11th is a holiday celebrating this art form",origami
,,,,
EVERY DAY'S A HOLIDAY,1,600,"National Thank You Note Day is on this date, the day after opening lots of gifts",December 26th
,,,,
EVERY DAY'S A HOLIDAY,1,800,"August 13 is a special day for these folks, including Barack Obama, Paul McCartney & Clayton Kershaw",southpaws (left-handers)
,,,,
EVERY DAY'S A HOLIDAY,1,1000,"Held in October at the end of the week, this alliterative day celebrates Mary Shelley & her famous creation",Frankenstein Friday
,,,,
FAMOUS BUILDINGS,3,0,"This Rome building with a name from the Greek was described by Michelangelo as coming from ""angelic and not human design""",the Pantheon
,,,,
FAMOUS NAMES,2,400,"A guide book called ""Adventures in Good Eating"" recommended the food at his Kentucky motel & changed his fortunes",Colonel Sanders
,,,,
FAMOUS NAMES,2,800,Sean Parker co-founded this music file-sharing service that debuted in 1999,Napster
,,,,
FAMOUS NAMES,2,1200,"Jonathan Larson created this show based on ""La Boheme"" that revived the rock musical genre in the 1990s",Rent
,,,,
FAMOUS NAMES,2,1600,"In 1935, the year before his Olympic heroics, this track star broke 3 world records & tied a 4th within 45 minutes",Jesse Owens
,,,,
FAMOUS NAMES,2,2000,-ian added to the last name of this 3-named economist refers to his theories promoting government spending & stimulus,(John Maynard) Keynes
,,,,
FANGS A LOT!,2,400,"You can get custom designer fangs of this classic lit character for $19.99 at Party City, just like the author intended",Dracula
,,,,
FANGS A LOT!,2,800,"The body of this crawler is composed of around 15 to 180 segments, each with a pair of legs, the first pair modified into poison fangs",centipede
,,,,
FANGS A LOT!,2,1200,A type of this snake is rightly called spitting--its fangs are shaped to send poison flying,cobra
,,,,
FANGS A LOT!,2,1600,"This fanged monster whose name is Spanish for ""goat-sucker"" was first ""sighted"" in 1995 (though after a scary movie)",a chupacabra
,,,,
FANGS A LOT!,2,2000,The protruding fangs of this mortal Gorgon known for her stone-cold gaze weren't even the most terrifying thing about her,Medusa
,,,,
FAREWELL ADDRESSES,2,400,"This astronaut left the Earth for good in 2012 in a hospital at 3000 Mack Road, Fairfield, Ohio",Neil Armstrong
,,,,
FAREWELL ADDRESSES,2,800,"Thousands flocked to 9 12th Avenue, Houghton, Johannesburg after he passed away there in 2013",Nelson Mandela
,,,,
FAREWELL ADDRESSES,2,1200,"She made her exit in 1962 after an overdose of sleeping pills at 12305 Fifth Helena Drive, in the Brentwood area of Los Angeles",Marilyn Monroe
,,,,
FAREWELL ADDRESSES,2,1600,He expired in 1827 in Vienna at Schwarzpanier Strasse 15 during thunder like that in his 6th symphony,Beethoven
,,,,
FAREWELL ADDRESSES,2,3200,"She breathed her last in 1901 at a Osborne House on the Isle of Wight,  surrounded by many children & grandchildren",Queen Victoria
,,,,
FILM COMPOSITION,2,400,Piotr Adamczyk played this Polish composer in a 2002 film,Chopin
,,,,
FILM COMPOSITION,2,800,"Ringo Starr was the pope & Roger Daltrey played the lead in a 1975 film called this Hungarian -""omania""",Liszt
,,,,
FILM COMPOSITION,2,7400,"1938 & 1972 films both called ""The Great Waltz""  focus on this composer",Johann Strauss
,,,,
FILM COMPOSITION,2,1600,"Iosif Pasternak wrote & directed the documentary ""The Pathetique"" about this composer",Tchaikovsky
,,,,
FILM COMPOSITION,2,2000,"""Bride of the Wind"" (a Gustav wind?) found Jonathan Pryce playing this symphonist",Mahler
,,,,
FLICK OF SEAGULLS,2,400,"In this Disney film, Scuttle the seagull shows off his knowledge of human things to Ariel, telling her a fork is a ""dinglehopper""",The Little Mermaid
,,,,
FLICK OF SEAGULLS,2,800,Seagulls eat a lot of Paul Rudd's flying transports in this 2018 comic book sequel,Ant-Man and the Wasp
,,,,
FLICK OF SEAGULLS,2,1200,"In ""The Shallows"", Blake Lively names her seagull companion this, a pun on a ponytailed action star",Steven Seagull
,,,,
FLICK OF SEAGULLS,2,1600,"Annette Bening & Saoirse Ronan starred in ""The Seagull"", a 2018 adaptation of this Russian's play",Chekhov
,,,,
FLICK OF SEAGULLS,2,2000,"A lone seagull draws first blood on this actress in Hitchcock's ""The Birds""",Tippi Hedren
,,,,
FLOWERS ON THE WALL,2,400,"These flowers, especially red ones, were Renoir's favorite ones to paint, like in his ""Bouquet"" of them",roses
,,,,
FLOWERS ON THE WALL,2,800,(Jimmy of the Clue Crew presents by a display monitor.) Floral imagery abounds in paintings of the Madonna and Child; white lilies represent the Madonna's purity and red carnations often foreshadow this event in Matthew 27:35,the Crucifixion
,,,,
FLOWERS ON THE WALL,2,3000,"This woman said, ""I'll paint what I see--what the flower is to me, but -I'll paint it big""",Georgia O'Keeffe
,,,,
FLOWERS ON THE WALL,2,1600,"The last paintings by this ""Luncheon on the Grass"" artist were of the flowers friends brought to his sickbed in 1883",Manet
,,,,
FLOWERS ON THE WALL,2,2000,"Before his more geometric style of intersecting lines, this Dutchman dabbled in Fauvism, painting a red amaryllis",Mondrian
,,,,
FOLLOW THE BUNNY,2,400,"In 1959 Tony Curtis & Janet Leigh presented the Oscar won by a short cartoon featuring this classic critter & that's all, folks",Bugs Bunny
,,,,
FOLLOW THE BUNNY,2,800,"Need a hand? This website finds you help around the house ""when you need it, at your fingertips""",TaskRabbit
,,,,
FOLLOW THE BUNNY,2,1200,"In 2006 this ""MNF"" play-by-play guy was traded to NBC (in part) for rights to Oswald the Rabbit, forerunner of Mickey Mouse",Al Michaels
,,,,
FOLLOW THE BUNNY,2,1600,"Seated between Alice and the Mad Hatter at the Mad Tea Party, he happens to be mad, too",the March Hare
,,,,
FOLLOW THE BUNNY,2,2000,"Soak rabbit meat in a wine-vinegar marinade for a few days in preparation for this stew dish, literally German for ""hare pepper""",hasenpfeffer
,,,,
FOOD SCIENCE,1,200,"Sodium hydroxide, aka lye, is traditionally used to create the brown coating on these twisted German snacks",pretzels
,,,,
FOOD SCIENCE,1,400,One theory for why tomatoes were thought to be poisonous--their acidity leached this toxic metal out of pewter plates,lead
,,,,
FOOD SCIENCE,1,600,"(Sarah of the Clue Crew presents by a display monitor.) Pressure of about 135 pounds per square inch is needed to pop each popcorn kernel; the pressure comes from steam, created when this white carbohydrate is heated to around 400 degrees",starch
,,,,
FOOD SCIENCE,1,800,"Around 10,000 years ago, human adults gained the ability to digest this milk sugar",lactose
,,,,
FOOD SCIENCE,1,1000,Mustard can act as one of these agents that allow oil & water to stay blended,an emulsifier
,,,,
GAMES,1,200,"Each player is dealt 26 cards in this game; if both players turn up a card of the same rank, it's this, the name of the game",War
,,,,
GAMES,1,400,Peppermint Stick Forest & Molasses Swamp were 2 tasty locations in the classic version of this board game,Candy Land
,,,,
GAMES,1,600,"In Charades if you draw a rectangle around your head, you're going to act out the title of one of these",a television show
,,,,
GAMES,1,1800,"In the game of Hearts, this card is known as ""The Black Lady""",the queen of spades
,,,,
GASES,2,400,"Absorbed into the blood slower than nitrogen, this lightest inert gas is mixed with oxygen for deep-sea divers",helium
,,,,
GASES,2,800,This inhaled anesthetic gas with a 5-letter name was first used for surgery in 1842,ether
,,,,
GASES,2,1200,"Trademarked in 1930, it's the name for gases used as refrigerants thanks to their low boiling points",Freon
,,,,
GASES,2,3000,"Trapped in pockets underground where plant decomposition has occurred, natural gas is primarily this gas",methane
,,,,
GASES,2,2000,"Harriet Brooks is sometimes credited with discovering this 5-letter element, a gas emanating from thorium",radon
,,,,
GNAT GEO,2,400,2019 high water on this river in cities like Natchez helped bring gnats out in force,the Mississippi River
,,,,
GNAT GEO,2,800,"Queen Victoria wrote of being ""half devoured by midges"" at an 1872 picnic near Dornoch Firth in this country",Scotland
,,,,
GNAT GEO,2,1200,"The luminous larvae of Orfelia fultoni, a gnat of the Appalachians, are aka these ""worms""",glow worms
,,,,
GNAT GEO,2,1600,You might encounter the fungus gnat on safari in this country's Kwazulu-Natal province,South Africa
,,,,
GNAT GEO,2,2000,"The destructive fruit fly Ceratitis capitata is better known as this, after a body of water",the Mediterranean fruit fly
,,,,
"GOOD ""P.R.""",2,400,This event is often held before a school football game to show spirit & to get the crowd excited,a pep rally
,,,,
"GOOD ""P.R.""",2,800,"Call them chicharrones or call them cracklins, they're still basically this snack",pork rinds
,,,,
"GOOD ""P.R.""",2,1200,"Iggy Pop & Joey Ramone have both been called ""the father of"" this",punk rock
,,,,
"GOOD ""P.R.""",2,1600,"There are some famous landmarks along this body of water, as seen here",the Potomac River
,,,,
"GOOD ""P.R.""",2,2000,"This author who explored Jewish life in books like ""Portnoy's Complaint"" died in 2018 at age 85",Philip Roth
,,,,
GOOD STUFF IN 2020,1,200,"Linda Herring of this ""Hawkeye State"" was honored for fostering more than 600 children over the course of nearly 50 years",Iowa
,,,,
GOOD STUFF IN 2020,1,400,"At the Columbus Zoo, male & female cubs of this fastest land mammal were born via in vitro fertilization for the first time",a cheetah
,,,,
GOOD STUFF IN 2020,1,600,"After getting an ""R2-D2"" prosthetic that moves fingers via muscle signals, a young fan got a call from Luke himself, this man",(Mark) Hamill
,,,,
GOOD STUFF IN 2020,1,800,"Ex-Sacramento State softball star Alyssa Nakken didn't have to go far to be the first female coach in MLB, with this NL team",the San Francisco Giants
,,,,
GOOD STUFF IN 2020,1,1000,"The 3,900 solar panels this ex-govt. employee put on his farm provided more than half the energy for his hometown of Plains, Georgia",Jimmy Carter
,,,,
GUYS NAMED DOUG,1,200,"QB Doug Flutie was awarded this trophy by the Downtown Athletic Club, yet fell all the way to the 285th pick in the NFL draft",the Heisman Trophy
,,,,
GUYS NAMED DOUG,1,400,"This ""Original Human Beatbox"" opened Doug E.'s, a chicken & waffle restaurant",Doug E. Fresh
,,,,
GUYS NAMED DOUG,1,600,Magician Doug Henning played this title character in a Broadway musical about a medieval magician,Merlin
,,,,
GUYS NAMED DOUG,1,800,Douglas Ginsburg's nomination for this post went up in smoke in 1987 when reports of drug use came out,a Justice of the Supreme Court
,,,,
GUYS NAMED DOUG,1,1000,"""The Long Dark Tea-Time of the Soul"" is a 1988 book by this British humorist",Douglas Adams
,,,,
HASH TAGS,1,200,"The name of a lunch staple honors John Montagu, the fourth earl of this",Sandwich
,,,,
HASH TAGS,1,400,"This creamy fettucine sauce is named for Signor di Lelio, the Roman chef said to have created it",Alfredo
,,,,
HASH TAGS,1,600,"This ""steak"", really a ground beef patty, is named for the doctor who thought Americans should eat it 3 times a day",Salisbury steak
,,,,
HASH TAGS,1,800,One story says the name of this brunch dish that now features an English muffin & Hollandaise sauce honors a broker,eggs Benedict
,,,,
HASH TAGS,1,1000,"This dessert, a crisp meringue topped with fruit & whipped cream, was named for a Russian ballerina",a pavlova
,,,,
HEARD ON A TV DRAMA,1,200,"""She's a weapon! Do you seriously want to fight the Demogorgon with your wrist-rocket?""",Stranger Things
,,,,
HEARD ON A TV DRAMA,1,400,"""What you call love was invented by guys like me, to sell nylons""",Mad Men
,,,,
HEARD ON A TV DRAMA,1,600,"""All of her tattoos are brand new""",Blindspot
,,,,
HEARD ON A TV DRAMA,1,800,"""Mr. Secretary, we're enacting continuity of government... sir, you are now the President of the United States""",Designated Survivor
,,,,
HEARD ON A TV DRAMA,1,1000,"""I am Pablo Emilio Escobar Gaviria. My eyes are everywhere""",Narcos
,,,,
HELLO & GOODBYE,2,400,"Used in Hawaii both when greeting & parting, this word means ""affection""",aloha
,,,,
HELLO & GOODBYE,2,800,"This nautical greeting to get the attention of another ship is often followed by ""there""",ahoy
,,,,
HELLO & GOODBYE,2,4000,"""ALV"" is texting shorthand  for goodbye, from the pronunciation of this 3-word Spanish expression",hasta la vista
,,,,
HELLO & GOODBYE,2,1600,"It sounds like it's about divine velocity, but it's really an expression of good wishes for someone leaving on a journey",godspeed
,,,,
HELLO & GOODBYE,2,2000,"This respectful greeting from Hindi means ""I bow to you""",namaste
,,,,
HERE ON EARTH,2,200,When Columbus sailed this ocean blue it was about 33 feet narrower than it is now,the Atlantic
,,,,
HERE ON EARTH,2,400,"This famous Turkish mountain was volcanically formed, so maybe it's not a good place to park your ark",Mount Ararat
,,,,
HERE ON EARTH,2,600,"Like a Weeble, the Earth does this & it's named after a guy named Chandler",wobble
,,,,
HERE ON EARTH,2,1000,"From Latin for ""soil"", it's the decaying organic matter in soil; you can replenish it by adding compost",humus
,,,,
HERE ON EARTH,2,1000,"The 2 most common elements in the earth's crust, they are usually found combined as silica",oxygen & silicon
,,,,
HIGHEST-PAID ATHLETES,3,0,"On Forbes' 2020 list of the 100 highest-paid athletes, at age 50 this active individual sportsman is the oldest",Phil Mickelson
,,,,
HISTORIC CLASSIFIEDS,1,100,"""FSBO."" this ""vast region including Aleutian Islands. $7.2 million OBO""",Alaska
,,,,
HISTORIC CLASSIFIEDS,1,200,"In 431 he would have jumped at the ad ""Bishop needed for Celtic island. Must have shamrock""",St. Patrick
,,,,
HISTORIC CLASSIFIEDS,1,300,"Situation wanted: this ""ex-naval minister seeks post, nothing to offer but blood, toil, tears, sweat""",Winston Churchill
,,,,
HISTORIC CLASSIFIEDS,1,400,"In 1508 he may have successfully responded to ""Chapel painter needed. Strong neck a must""",Michelangelo
,,,,
HISTORIC CLASSIFIEDS,1,500,"In the 1660s she could have advertised, ""Experienced queen seeks throne. Catholic countries only""",Queen Christina of Sweden
,,,,
HISTORIC FIGURES,3,0,"In a 1912 telegram to his wife, he said, ""Am feeling fine. Have bullet in chest, but...talked for hour and half after being shot""",Teddy Roosevelt
,,,,
HISTORIC WOMEN,2,3000,"Her services refused due to prejudice, Jamaican-born Mary Seacole helped care for British soldiers on her own during this 1850s war",the Crimean War
,,,,
HISTORY,2,400,"In 1800 the U.S. capital was moved to Washington, D.C. from this city",Philadelphia
,,,,
HISTORY,2,800,In 1819 this country ceded Florida to the United States,Spain
,,,,
HISTORY,2,1200,In 1733 John Kay's flying shuttle made weaving more efficient & was an early part of this revolution,the Industrial Revolution
,,,,
HISTORY,2,1600,In 1932 Hattie Caraway of Arkansas became the first woman elected to this,the Senate
,,,,
HISTORY,2,2000,"Her accession as ruler of Austria in 1740 touched off a war, but she stayed in power for 40 years",Maria Theresa
,,,,
HODGEPODGE,1,200,"An early depiction of a demon holding this customary farm implement is on a thousand-year-old high cross in County Louth, Ireland",a pitchfork
,,,,
HODGEPODGE,1,400,The current king of Spain is named after Philip V (died 1746) but is more commonly known by this Spanish version of his name,Felipe
,,,,
HODGEPODGE,1,600,Latin term for a law that makes an act illegal though it was legal back when it was done,ex post facto
,,,,
HODGEPODGE,1,800,"These people lived up to their name when they sacked Rome in 455 A.D., tearing up the tiles of the Temple of Jupiter",Vandals
,,,,
HODGEPODGE,1,1000,"His 1690 ""Essay Concerning Human Understanding"" argues for the ""blank slate"" view that all knowledge is from experience",(John) Locke
,,,,
HOUSEHOLD NAMES,1,200,You hang your curtains on this,a rod
,,,,
HOUSEHOLD NAMES,1,400,"A 2015 study showed that even if they pay online, more than 90% of U.S. households still preferred these to be mailed to them",bills
,,,,
HOUSEHOLD NAMES,1,600,"It's an ""indolent"" revolving tray for foods",a lazy susan
,,,,
HOUSEHOLD NAMES,1,800,This bendy fastener,a brad
,,,,
HOUSEHOLD NAMES,1,1000,Hebrew National makes a kosher beef type of this,frank
,,,,
I PLAYED HER IN THE MOVIE,1,200,Bad singer Florence Foster Jenkins,Meryl Streep
,,,,
I PLAYED HER IN THE MOVIE,1,400,"Good singer Beca, a member of the Barden Bellas who is pitch perfect",Anna Kendrick
,,,,
I PLAYED HER IN THE MOVIE,1,600,"Andy Sachs, assistant to the editor of a fashion magazine",(Anne) Hathaway
,,,,
I PLAYED HER IN THE MOVIE,1,800,"Jenny Curran, Forrest Gump's beloved",Robin Wright
,,,,
I PLAYED HER IN THE MOVIE,1,1000,"Rachel Watson, the girl on the train",Emily Blunt
,,,,
ICE CREAM,2,400,This hyphenated ice cream brand with a Danish-sounding name actually originated in the Bronx,H�agen-Dazs
,,,,
ICE CREAM,2,800,"When in Rome be sure to sample some of this smooth, creamy Italian ice cream, especially from places certified as artisanal",gelato
,,,,
ICE CREAM,2,1200,Ice cream cones first became popular after appearing at the World's Fair in this city in 1904,St. Louis
,,,,
ICE CREAM,2,1600,The Japanese-inspired treat seen here is ice cream wrapped in this sweetened rice dough,mochi
,,,,
ICE CREAM,2,2000,A typical recipe for Israel's halva ice cream includes halva candy &/or this ground sesame paste,tahini
,,,,
INVENTORS & INVENTIONS,2,400,"George Washington Carver came up with 300 products derived from these, including dyes, flour & linoleum",peanuts
,,,,
INVENTORS & INVENTIONS,2,800,Tabitha Babbitt invented a circular type of this tool after seeing Shakers struggle with the long 2-handled type,a saw
,,,,
INVENTORS & INVENTIONS,2,1200,"(Sarah of the Clue Crew presents from Great Market Hall in Budapest, Hungary.) In the tradition of Hungarian inventive geniuses like Mr. Rubik, two Hungarian scientists designed the G�mb�c to prove that there can be a three-dimensional object with only one stable and one unstable point of this",balance
,,,,
INVENTORS & INVENTIONS,2,3000,Donald Hings created a portable 2-way radio around 1940; today it has this rhyming name,a walkie-talkie
,,,,
INVENTORS & INVENTIONS,2,2000,This guitar legend is the only person in both the Rock & Roll Hall of Fame & The Inventors Hall of Fame,Les Paul
,,,,
ISLAND NATIONS,1,200,"Fittingly, this country is home to Europe's largest glacier",Iceland
,,,,
ISLAND NATIONS,1,400,"Starting in 1845, the building seen here turned out this familiar Cuban product by the millions",cigars
,,,,
ISLAND NATIONS,1,600,"The capital & largest city of Indonesia, it's on Java at the mouth of the Ciliwung River",Jakarta
,,,,
ISLAND NATIONS,1,800,In 1565 Jean de la Valette led the Knights of St. John in defense of this Mediterranean island,Malta
,,,,
ISLAND NATIONS,1,1000,"(Jimmy of the Clue Crew presents by a display monitor.) Lush ecosystems off Africa's east coast have been fortified, partly thanks to one of the world's most resourceful environmental organizations, the Nature Conservancy, and its plan to restructure the debt of this nation",the Seychelles
,,,,
IT COMES FROM ANIMALS,1,200,These 4-letter soft feathers are used to stuff pillows,down
,,,,
IT COMES FROM ANIMALS,1,400,"Used in lotions, lanolin generally comes from the body grease of these shearable creatures",sheep
,,,,
IT COMES FROM ANIMALS,1,600,"Seth Boyden never got a patent for the process to manufacture the ""patent"" type of this",leather
,,,,
IT COMES FROM ANIMALS,1,800,This alliterative type of bristle used in brushes comes from a wild pig relative,boar bristle
,,,,
IT COMES FROM ANIMALS,1,1000,"The red pigment carmine comes from cochineal, this type of animal",insects
,,,,
IT'S A DATE,2,400,"On March 17, 1905 this future first lady got married in New York City & didn't even have to change her last name",Eleanor Roosevelt
,,,,
IT'S A DATE,2,800,"On Aug. 7, 1964 this international resolution that would prove controversial passed the House unanimously",the Gulf of Tonkin Resolution
,,,,
IT'S A DATE,2,1200,"You could look it up--on April 14, 1828 this man copyrighted the first edition of his dictionary",(Noah) Webster
,,,,
IT'S A DATE,2,1600,"On Jan. 10, 1776 Thomas Paine put out this 47-page pamphlet demanding independence","""Common Sense"""
,,,,
